plot_id,xcoord,ycoord,heathy_200,heathy_400,heathy_600,heathy_800,heathy_1000,heathy_1200,heathy_1400,heathy_1600,heathy_1800,heathy_2000,cleared_200,cleared_400,cleared_600,cleared_800,cleared_1000,cleared_1200,cleared_1400,cleared_1600,cleared_1800,cleared_2000,edgelength_200,edgelength_400,edgelength_600,edgelength_800,edgelength_1000,edgelength_1200,edgelength_1400,edgelength_1600,edgelength_1800,edgelength_2000,firediversity_200,firediversity_400,firediversity_600,firediversity_800,firediversity_1000,firediversity_1200,firediversity_1400,firediversity_1600,firediversity_1800,firediversity_2000,midSucc_200,midSucc_400,midSucc_600,midSucc_800,midSucc_1000,midSucc_1200,midSucc_1400,midSucc_1600,midSucc_1800,midSucc_2000,growthstage,TSF
165,288681,6110218,12.24,41.58,76.95,110.25,130.23,163.53,206.01,250.56,288.09,319.68,0,2.34,15.03,48.78,109.8,165.24,216.63,291.78,398.52,534.06,0,450,2280,5760,10800,16740,23100,28200,32610,38100,0,0.043614654,0.150521873,0.226535859,0.269724594,0.342875424,0.402179717,0.460906089,0.48297672,0.507373023,0,0,0,0,0,0,0,0,0,8.73,2,12
166,293813,6117498,12.42,43.92,90.54,143.91,185.4,233.64,291.96,364.41,426.33,501.75,0,6.12,19.08,49.14,100.53,164.43,234.81,311.76,417.06,548.46,0,1350,3690,6180,7590,9150,12540,18420,26580,34860,0.028565427,0.392315958,0.489721232,0.495405494,0.479203014,0.435224062,0.384618747,0.337158511,0.309175542,0.283354186,0,0,0,0,0,0,0,0,0,0,2,7
167,286922,6114483,8.64,27.9,59.58,90.81,144.72,200.07,258.93,318.42,375.93,427.05,3.96,22.23,50.4,101.61,144.72,187.83,249.75,316.53,408.87,548.37,540,1530,3480,5490,9210,13530,18480,24120,29220,37890,0.357432369,0.519965278,0.509646169,0.541798099,0.591167574,0.633481457,0.636893615,0.622809049,0.600642702,0.598369066,0,0,0,0.18,15.3,41.94,79.56,123.48,158.76,191.16,2,7
169,292696,6131807,10.53,20.88,29.16,52.65,68.22,89.28,126.63,176.76,229.59,272.07,1.8,19.26,56.61,95.13,150.66,244.89,343.08,450.99,581.67,744.66,480,2640,5190,8760,13380,16740,23400,31800,40830,49170,0.402485207,0.66308334,0.645522491,0.573549111,0.547799432,0.528869026,0.515467147,0.48528717,0.442066678,0.407685374,0,0,0,0,0,0,0,0,0,0,2,14
170,292886,6137597,0.36,7.92,24.84,52.29,82.98,105.57,126.63,150.57,173.79,205.83,1.44,17.28,40.5,68.04,108.09,159.48,236.34,297.18,387.9,488.97,390,2820,6210,8280,10740,15000,18660,25470,32070,37800,0.39540893,0.504349717,0.560487025,0.587767588,0.604730573,0.623553674,0.641010279,0.652454424,0.65518889,0.668639928,3.15,17.28,43.2,75.24,109.89,157.86,204.39,268.92,335.97,394.56,2,7
171,293922,6143262,8.01,17.46,44.01,82.8,108.63,123.57,134.46,149.76,165.6,166.5,0.99,16.65,41.04,77.76,146.16,231.03,343.62,462.69,613.44,781.56,270,3090,8910,13740,18240,21990,25860,31710,38400,42090,0.126180112,0.475578512,0.544197932,0.517678554,0.533802652,0.551252353,0.559829211,0.546126307,0.531958575,0.517975987,0,0.9,1.35,2.88,11.07,22.86,35.28,45.18,47.25,47.25,2,6
172,297150,6128229,8.37,28.08,45.45,75.33,122.13,176.76,224.91,275.94,336.42,402.48,3.78,20.79,62.46,112.59,170.37,235.89,321.48,433.71,555.66,706.5,480,1890,4710,9300,15960,22980,29400,37410,45450,52170,0.450788158,0.322804241,0.20931328,0.127066116,0.103613875,0.204240749,0.298132136,0.307183861,0.310016109,0.2948515,0,0,0,0,0,0.54,2.16,2.16,2.16,2.16,2,7
173,286884,6121933,3.96,13.05,35.73,73.98,109.26,171.45,230.22,294.48,383.94,466.29,1.98,10.44,21.42,38.25,71.82,102.15,154.98,216.18,261.45,331.02,510,2880,6420,9960,14880,19620,26130,32310,41940,49740,0.544240161,0.665430044,0.586543084,0.495465867,0.448898921,0.449471911,0.44084697,0.418911184,0.371454207,0.341116013,0,0,0,0,0,0,0,0,0,0,1,3
174,292872,6121123,8.37,14.85,18.72,23.4,36.54,63.72,108,150.75,192.96,243.54,2.88,19.8,57.24,106.02,174.24,244.8,301.05,378.72,469.8,585.63,600,2310,3720,6870,12240,18210,26370,35940,44370,54810,0.395890282,0.236831988,0.181730506,0.128712087,0.074753086,0.048413058,0.065107313,0.134719083,0.256091653,0.332105167,0,0,0,0,0,0,2.61,4.68,13.68,27.81,1,2
175,295038,6125529,10.98,31.23,56.79,100.98,128.88,142.74,158.04,203.94,240.66,285.66,1.44,17.55,53.91,87.03,151.38,242.1,345.6,449.1,575.91,676.53,510,3540,6960,11760,18540,24450,29880,37020,43950,50640,0.102638063,0.160544234,0.228941898,0.208108591,0.247814863,0.221768194,0.196377146,0.158583569,0.155453513,0.163244606,0,0,0,0,0,0,0,0,0,0,4,78
